transactions_per_month,support_tickets,churn
14.23,8,1
18.21,0,0
15.88,4,0
7.51,11,1
20.47,2,0
12.5,8,1
15.2,2,0
18.88,1,0
18.62,4,0
8.56,16,1
11.03,13,1
7.12,14,1
12.18,7,0
11.87,2,0
12.37,9,1
13.18,6,0
7.61,12,1
18.64,1,0
10.02,8,0
18.86,2,0
16.39,5,0
10.3,11,1
14.75,6,1
15.57,6,1
13.26,6,0
12.97,6,1
8.41,12,1
6.83,14,1
7.67,14,1
9.48,12,1
19.42,5,0
14.09,10,1
13.6,6,0
8.51,4,0
9.86,13,1
18.34,1,0
4.87,14,1
12.28,7,1
9.55,9,1
11.33,9,1
3.45,13,1
8.29,10,1
11.48,9,1
20.25,1,0
13.51,8,1
16.17,3,0
6.98,11,1
11.3,7,1
10.28,9,1
22.35,1,0
14.63,2,0
8.81,11,1
16.25,1,0
15.63,1,0
21.75,0,0
6.74,14,1
9.84,11,1
16.54,5,0
14.59,4,0
13.89,5,0
12.75,12,0
9.59,10,1
18.69,3,0
17.4,3,0
14.83,1,0
6.01,10,1
7.38,11,1
18.14,3,0
21.26,1,0
20.6,1,0
3.51,14,1
18.8,4,0
6.53,12,1
11.06,9,1
14.25,6,0
16.57,3,0
20.86,1,0
9.36,9,1
5.68,11,1
10.38,10,1
11.25,8,1
26.13,1,0
6.83,15,1
7.2,12,1
13.5,4,0
1.54,15,1
8.92,9,1
11.49,9,1
11.63,11,1
10.07,12,1
10.61,10,1
17.43,2,0
15.46,5,0
5.04,13,1
20.07,3,0
14.04,5,0
13.35,7,0
8.98,6,0
10.42,9,1
7.53,14,1
14.25,3,0
16.68,2,0
18.62,3,0
3.74,13,1
12.43,10,1
14.65,4,0
6.98,12,1
4.83,12,1
8.06,12,1
11.14,14,1
17.78,4,0
6.95,11,1
15.36,6,1
6.74,12,1
11.82,11,1
9.97,12,1
4.27,10,0
15.33,2,0
13.71,9,1
5.53,14,1
3.89,14,1
18.09,1,0
13.72,3,0
17.85,2,0
13.53,11,1
9.34,13,1
21.18,3,0
14.18,7,0
9.44,12,1
12.96,11,1
12.62,8,1
10.77,8,1
14.44,8,0
18.44,4,0
10.56,8,1
8.22,11,1
7.18,13,1
12.12,10,1
10.18,12,1
14.75,3,0
16.9,7,0
18.58,0,0
15.77,3,0
7.3,11,1
10.52,15,1
19.0,2,0
12.28,6,1
9.73,12,1
18.48,3,0
11.3,8,1
10.69,11,1
9.11,9,1
16.19,3,0
10.65,5,0
5.6,11,1
15.3,8,0
23.2,0,0
8.72,11,1
22.8,0,0
8.49,11,1
16.48,4,0
5.74,14,1
14.23,6,0
14.67,4,0
20.05,2,0
15.72,4,0
8.28,13,1
7.12,15,1
15.25,6,0
11.33,7,0
6.46,11,1
7.0,13,1
10.76,9,1
14.3,6,0
13.78,6,1
14.73,10,1
17.29,0,0
6.73,9,1
15.33,6,0
7.33,11,1
19.24,1,0
12.34,9,1
15.35,8,0
7.35,10,0
17.91,1,0
12.16,8,1
13.12,8,1
15.98,8,1
12.86,9,1
9.74,11,1
6.14,12,1
14.82,4,0
6.44,13,1
13.84,7,0
19.36,1,0
16.47,2,0
14.11,5,0
9.98,12,1
10.09,10,1
9.31,12,1
13.01,7,0
16.65,7,1
18.26,2,0
14.31,4,0
11.66,7,0
19.17,2,0
11.81,3,0
10.66,8,1
8.55,11,1
2.3,15,1
4.15,14,1
11.98,10,1
14.14,6,0
10.66,10,1
8.83,12,1
18.41,2,0
16.34,6,1
7.65,12,1
11.33,6,0
14.68,9,1
11.92,9,1
16.05,2,0
12.06,6,0
15.77,5,0
19.37,1,0
22.79,1,0
6.83,13,1
14.23,4,0
14.02,8,0
17.37,5,0
6.23,14,1
17.46,4,0
13.48,6,0
7.38,13,1
9.7,13,1
18.46,3,0
7.62,11,1
15.83,7,1
8.03,8,0
22.1,2,0
15.38,1,0
7.83,11,1
12.47,7,0
13.15,7,1
11.07,11,1
6.4,12,1
18.14,3,0
9.69,9,1
18.56,2,0
8.6,11,1
10.33,10,1
4.55,15,1
17.95,1,0
19.72,1,0
17.65,5,0
14.88,4,0
14.56,4,0
7.63,13,1
16.19,4,0
17.58,4,0
6.8,11,1
9.7,8,0
7.28,12,1
17.49,1,0
12.53,7,0
18.22,1,0
20.54,1,0
5.83,14,1
18.21,2,0
12.33,8,1
14.22,7,0
14.74,5,0
7.52,13,1
18.08,1,0
12.84,11,1
5.08,16,1
8.97,8,1
6.32,14,1
17.51,0,0
15.05,7,0
20.52,4,0
7.46,12,1
5.95,14,1
12.64,3,0
11.1,10,1
15.26,2,0
10.27,9,1
10.84,6,0
6.88,15,1
12.89,8,1
14.8,5,0
16.56,2,0
20.91,2,0
15.12,3,0
11.91,4,0
8.16,13,1
9.37,9,0
14.13,7,1
17.52,2,0
8.31,12,1
11.96,11,1
16.57,1,0
8.25,11,1
11.7,8,1
21.85,1,0
11.81,6,0
11.54,7,0
18.47,2,0
4.66,14,1
7.56,13,1
6.86,10,1
17.49,7,0
11.13,6,0
9.59,11,1
11.75,8,0
22.89,0,0
9.66,8,1
11.87,12,1
14.63,7,0
20.05,0,0
6.24,12,1
18.12,4,0
14.67,4,0
20.06,3,0
13.1,4,0
8.42,11,1
11.1,7,0
14.95,3,1
8.32,14,1
7.88,13,1
9.36,13,1
12.86,4,0
15.36,6,0
10.24,15,1
7.52,12,1
23.38,0,0
18.5,1,0
10.3,7,1
5.75,13,1
14.02,8,1
10.86,9,0
17.22,2,0
11.34,10,1
7.67,12,1
15.46,6,1
8.84,12,1
6.49,15,1
16.08,3,0
12.61,8,1
13.84,5,0
10.68,12,1
10.07,9,1
12.74,9,1
7.56,12,1
14.46,6,0
5.28,13,1
9.97,8,0
14.14,2,0
7.45,10,1
7.45,12,1
15.67,5,0
9.16,12,1
5.52,14,1
14.08,4,0
2.36,14,1
18.85,1,0
19.74,3,0
19.77,3,0
8.01,13,1
11.46,10,1
21.11,1,0
14.06,6,0
12.06,9,1
18.11,2,0
4.04,13,1
6.58,13,1
12.4,7,0
5.61,15,1
17.59,6,0
5.4,15,1
12.34,10,1
9.61,10,1
16.89,2,0
4.11,13,1
12.1,7,0
18.62,2,0
19.83,0,0
13.49,9,0
12.45,7,1
8.5,11,1
10.94,13,1
18.62,1,0
11.35,11,1
16.39,2,0
8.55,13,1
9.57,13,1
12.31,8,1
4.64,11,1
15.32,5,0
15.39,7,0
8.73,13,1
14.0,7,0
11.19,5,0
11.15,8,1
8.4,12,1
15.79,6,1
19.82,2,0
9.03,11,0
8.42,12,1
18.52,1,0
14.43,3,0
13.36,2,0
15.64,5,0
13.59,7,1
7.53,11,1
6.99,10,1
11.95,9,1
14.18,5,0
8.49,12,1
16.66,7,1
1.03,15,1
9.09,9,1
17.69,3,0
12.77,10,1
11.85,5,0
13.58,11,1
19.23,2,0
17.18,3,0
6.77,13,1
15.72,3,0
9.54,13,1
13.67,5,0
11.05,10,1
8.82,11,1
10.79,8,1
20.59,5,0
17.65,3,0
20.73,0,0
17.72,4,0
7.36,10,1
9.43,14,1
1.91,13,1
6.97,12,1
7.26,12,1
11.19,10,1
16.53,4,0
6.06,13,1
9.92,10,1
9.64,8,1
15.34,2,0
14.75,7,0
14.48,7,0
10.2,13,1
10.22,8,1
15.68,6,1
4.78,15,1
20.72,1,0
15.71,6,0
19.79,1,0
8.22,11,1
8.15,14,1
17.09,5,0
5.76,13,1
12.96,4,0
5.76,14,1
11.72,11,1
10.22,12,1
17.51,0,0
3.22,15,1
11.65,11,1
13.16,5,0
8.58,13,1
14.55,4,0
10.14,13,1
16.77,1,0
11.73,10,1
12.26,8,1
19.06,1,0
12.43,4,0
15.41,1,0
12.53,7,0
15.97,4,0
8.77,9,1
13.36,5,0
16.62,5,0
9.98,12,1
19.0,0,0
8.02,13,1
4.87,13,1
9.27,10,1
14.4,8,1
6.75,12,1
17.47,3,0
23.43,1,0
13.61,3,0
9.67,12,1
22.81,0,0
10.61,9,0
6.79,15,1
5.2,13,1
10.8,7,0
19.82,1,0
9.13,12,1
13.26,9,1
21.42,2,0
18.46,2,0
8.74,13,1
9.28,10,1
9.36,13,1
7.23,14,1
12.31,8,0
13.09,8,1
10.33,6,0
13.0,4,0
13.69,7,0
5.02,12,1
12.63,10,1
8.36,13,1
14.0,7,1
8.65,10,1
13.29,10,1
15.2,9,1
9.75,11,1
17.46,3,0
12.72,8,1
19.5,1,0
13.99,6,0
12.62,7,1
12.03,9,1
10.43,15,1
8.19,9,1
8.64,12,1
10.05,8,0
13.67,9,1
17.76,1,0
13.3,4,0
15.85,6,0
16.4,7,0
20.64,0,0
18.31,2,0
16.67,5,0
8.26,15,1
13.28,5,0
12.55,8,1
16.15,3,0
8.5,9,1
15.13,4,0
19.11,3,0
13.38,8,1
21.21,0,0
20.18,1,0
17.76,3,0
17.85,0,0
17.76,2,0
15.3,5,0
8.52,12,1
12.06,8,1
12.03,8,0
14.84,5,0
12.34,14,1
15.86,5,0
19.52,1,0
10.28,10,1
17.39,2,0
14.56,5,1
12.97,7,0
3.13,13,1
9.46,7,1
8.19,10,1
5.52,15,1
17.55,2,0
18.84,4,0
11.12,6,1
12.17,7,0
16.87,6,0
6.65,14,1
11.06,11,1
14.98,9,1
13.97,5,0
7.44,12,1
5.13,14,1
3.77,13,1
19.36,0,0
12.22,10,1
20.31,1,0
17.37,3,0
18.36,1,0
9.63,10,1
12.24,10,1
17.29,1,0
14.83,6,0
13.48,6,0
17.39,5,0
20.13,2,0
11.13,6,0
6.36,11,1
20.09,1,0
18.67,1,0
13.77,5,0
7.91,14,1
10.35,10,1
9.92,10,1
16.13,5,0
10.34,9,0
22.99,0,0
8.88,10,1
7.61,14,1
13.68,9,1
4.14,14,1
8.45,10,1
20.48,2,0
8.78,14,1
18.66,1,0
10.52,8,0
19.78,2,0
22.19,1,0
11.34,6,0
13.17,4,0
13.16,8,1
12.6,8,1
18.75,1,0
19.51,3,0
10.2,8,1
10.62,5,0
8.21,10,1
10.34,10,1
6.76,13,1
7.3,11,1
9.92,6,0
8.88,9,1
17.66,4,0
17.92,4,0
10.54,12,1
11.67,7,0
5.72,12,1
8.66,13,1
8.41,13,1
7.05,13,1
9.51,6,1
13.48,5,0
11.21,8,1
15.41,5,0
12.52,9,0
9.7,10,1
10.34,10,0
14.55,6,0
18.87,2,0
14.17,7,1
17.99,2,0
6.11,13,1
14.97,5,0
18.65,3,0
20.15,1,0
11.07,10,1
13.13,9,1
15.42,5,0
17.63,2,0
15.62,6,0
12.6,6,0
7.68,10,1
11.59,9,1
15.56,5,0
14.24,3,0
4.41,14,1
11.98,7,0
8.7,10,1
19.78,2,0
14.13,8,0
19.55,1,0
11.33,7,0
2.84,15,1
17.08,6,0
20.6,0,0
18.12,1,0
15.62,6,0
17.46,2,0
19.08,0,0
9.53,11,1
11.64,7,0
14.97,4,0
6.74,13,1
17.26,2,0
7.0,15,1
19.03,5,0
5.17,14,1
7.63,9,1
3.6,12,1
4.94,15,1
14.35,4,0
6.0,14,1
14.42,5,0
11.01,6,0
11.26,5,0
12.47,8,1
17.96,3,0
10.84,8,0
8.56,8,1
9.51,11,1
10.04,13,1
13.95,7,0
13.77,4,0
16.2,4,0
14.35,3,0
21.25,1,0
15.03,5,0
12.41,4,0
4.9,13,1
12.56,8,1
14.12,5,1
10.74,9,0
15.46,1,0
14.47,7,1
9.31,9,1
8.35,8,0
13.23,6,0
7.05,15,1
6.02,14,1
14.12,9,0
12.32,8,1
11.37,9,1
16.72,3,0
13.94,6,0
18.88,0,0
12.26,6,1
12.92,7,1
14.71,4,0
3.39,14,1
4.11,13,1
13.26,11,1
13.06,8,1
7.56,13,1
15.93,2,0
9.39,12,1
17.89,1,0
8.52,12,1
13.91,4,0
7.16,13,1
4.99,13,1
16.24,2,0
14.53,7,0
2.21,15,1
13.88,7,1
8.42,14,1
9.41,9,1
12.73,5,0
15.27,5,0
17.52,3,0
8.27,12,1
15.07,6,0
15.86,7,0
11.6,7,1
7.91,8,1
8.67,13,1
8.66,15,1
14.67,7,0
